,Company_Name,Job_Title,Location,Easy_Apply,Rating,URL,Summary
0,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGue66LtIrErvPv8SX7o1ncRfdsd9_h73i5bKsRNPydYGpYqtZB6K8_dI2ZzVzXGhz_-wvt-BDCiVWiuhErwbB6GsiPuOxM0UTZR-v4jpZnm6O1Lpc3JXtPFh2YMOCJcUdS0bCviNczHYbd22bKIebTzeLAUGXojXRnsuWMOlUvO9qzVnoMUqa6HlV5NV9Opytjl5JuHZDwiZ4v1g5u-33TTVsN7922Y92T3DWlGdKJIltHhccG4XGpws8c47phtBNV-B8CEec7s1wfFDsC8CaErTIUfGskojNWG7-mKkDsrShDgZPqtn4xSk2aLwFhpuklL_6nXkqT6vbuwq4n-kHHPek6UVfrbcVdzDJUovwy2aISWvQ9gDNn8sY2Bx0TFsWr3hKgzXeK1pKaxFEY1E6NkWth9WfZbc3_oMkk3lhSN2HeLLeZ9RvqvewKQdO4jvn9l6Cngobg2NTaGtdBfS949_q9HDG-Rk59_OAZ8muDJfzzlieaBQ_aMztpabonFaprrYT1XVq7PSBe3uWxfKYEbY-lXtJ5En0Ic5DTO1YedA_lCUBIF_IJ8Y6eFZsIAJR0LQqqo1mgAHKns8EDDje&p=0&fvj=0&vjs=3, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
1,UPMC,Director Integrated Data Science,"Loveland, CO",Not Easy Apply,3.7,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0An_F7pECnaBd2kaaPzVIE3U8A1lP216Cr-URqJ1oCRpRA4lx5JbBedmERUXYVX1hlHTKXvptAsU3tC4ZDs6BBvDL60pQEL-D0gaeq1hImcXY34qyuXj7UX6SsiLlJuWStJB340mPH2XsX-JMHURviiV-F_2Clndl1H-6wXuFz1ico4KMikbO-dzrN8BnLaUXH__h1We7IA_36hhf5X6hubOwFdi9p_ScNnCc7KY-D47Nnv4MzWFIVsNNuqPWemT1qnZn-oS0GSl_H1kLnGMp3oEsU0_Y4UavDdH_WRU3yFjb6-HxVWEMDjnXeYXj26mfmzKocxo43lqMgYxUrqfeay5ODGpI1inEfl6cQb-Knc-mqo7dgnCG7Usbr_94DUFsHZvpMSvAIXLZntVrv2kM0mXJjH6dyEC0U=&p=1&fvj=0&vjs=3," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…"
2,Mphasis,Data Science Specialist USA,United States,Not Easy Apply,3.8,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D35pONiEzCV0HOA1LSj07MBrUNmnAaSWLsWvroqamMmuIQJaQYcwRytgJb_4HxKwo8_L6O0YVKGV5Obz3p9AsGMPh38g6KyTyEcO-ejcZnGk6OTkYZKABJx0wgJmNupC8xqimGefwv6-M4RtL136iraAwPkqBLyLHWRe2deM_CqkJZ8UAXtacNs5o-jMIr6IWJLxv74BrnZhfT57asrNBLOdb08Gg4Sd2tEM8f9rUXnGDUq56GemCJyJKxSvpJTuCJYRGLIbcsRXu8w0RHBp9tNktF5N9yO3H0jYYGfYv09dTQhmfMFcdtUHhhHUn14lahL0SnoUUCcGXIb9eHNm5lGfVsYRXveh7RN40yqpboatd0XOBwtvK_xQOZ4_KV24aDTGGLor4Z6L9k8mpmTOywxwRaBjIWztjMSEf5O_6io8gOBTlvJTnqw6Lhj7oBk19jodLQrxI7kpTAEtYxk3rj2yix9TrpeQZcc156xgv_OuBIkPW0SKZYpHtNstEzT2KduhaZkqikhtBBWiYhpTMtL1-kTh19svw=&p=2&fvj=0&vjs=3," Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}."
3,Valen Analytics,Data Engineer,"Denver, CO",Not Easy Apply,,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGue66LtIrErvPv8SX7o1ncRfdsd9_h73i5bKsRNPydYGpYqtZB6K8_dI2ZzVzXGjB2hv9bZ0NPQyi4y0WH48voMzE5lTyU1lKfS1CvQyHuvWcbWDvGXpZ1SFLugnJeMj4XTix4UQhdAuFlFXrJRDs7R-v5f-AfwkAQWaQY5dy4g8iSJz5Bm6dTFosZRr1HPOui4Kp4zHTWjsNtHFvt0bv3gCJFfX88C9sTGxYU5SV2LezVhzpHEF4-tT5Lfs1ojqeQ2QGz-CMVdc4jUKa8zEbPCYou9jDzpf69z9cgSoyqVeqWsSic_6y0gaFEomXgh6yMXqSxgQgU_FBuH65XiNIIpGA_QPUlEBUx9K109iuEDrQhex6JoNVOsWUSNMQ-I2R80hBuPuOeO3V6cV1zmr3cTHTZ6QJBWpVPYi7ahwudSxdaaQ7EiMQ5kGv-Pj-UrbfhPQARvDCsKPvHepQnLnWEDh4MZvCnS0M19Vx__d-580DC2tin3rAoZ92m3eVyLWuRFC9n7G8KuloTonXOvu-s1NNuVezyfjk8L3HiXDfKvU7KECuUJHNIJpVVKjY5bMZ6ZYLg7PlGJ3OnCk5j0GH&p=3&fvj=0&vjs=3, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.
4,Horizontal,Data Scientist,"Broomfield, CO",Not Easy Apply,,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVLD0NwOQENOe9ZSCJLsOt28qZmO4545ePKxrhyheH8r82zAzMcRn-EZpK-qOU5e02JRjkxkFg4CqLKoOXh1Rm2r6zWVkRGvH1HinlmX_iQTZ1DJfsE06rmQLRCh0xuYSUNBNh4L1Rqz_NKmjmkscFGWiKOoYdj5f_MaZyzdU60Ue6z9uPRbM-4Sp_ZiqX1xf-e2T0A4qI1b9T6x5jphcl99NIf26iZ18Eu1NgQfxuRX_pyBVOvSwFHhWivaoaw9s9kpCD016HhTaHzANTpGKKps362VJ-iacVrccRYzCV79VLk2ncZGkUQa3FWQchREVqry4k_xEydowElhAud0E8MT0xEoK4W1BLPo_k2aMb5T1gU8u-acn-a7oIn6nhofUuuKB5vSmnrqNVEDyvvunkMi1NEaF1FyM=&p=4&fvj=0&vjs=3," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
5,Nutrien Ag Solutions,Junior Data Scientist,"Loveland, CO",Not Easy Apply,3.5,indeed.com/rc/clk?jk=e1ca7fe80fed7349&fccid=cfbfa9d8b2bae993&vjs=3," BS/BA degree (MS preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination of…"
6,Pricesenz,Data Scientist,"Broomfield, CO",Easy Apply,,indeed.com/company/PriceSenz/jobs/Data-Scientist-3149d326e293299c?fccid=04f1a341eb475915&vjs=3, Data Science: 3 years (Preferred). Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite…
7,Payfone,Data Science Analyst,"Denver, CO",Not Easy Apply,3.5,indeed.com/rc/clk?jk=a06c30f1e80e8e71&fccid=2309bda415c22fa4&vjs=3, Working knowledge of basic data science concepts such as: Synthesize data learnings into compelling stories and communicate to stakeholders.
8,Perspecta,Jr. Data Scientist,"Loveland, CO",Not Easy Apply,3.3,indeed.com/rc/clk?jk=a3bac3d684854355&fccid=8a813d7674dea751&vjs=3," Strong skills in data manipulation, cleaning and exploratory analysis. Perspecta is currently seeking candidates for a Jr. Data Scientist."
9,Maxar Technologies,Data Science Intern,"Westminster, CO",Not Easy Apply,3.7,indeed.com/rc/clk?jk=42d00a9314f14528&fccid=9f02eee31b134261&vjs=3," Maxar is looking for a Data Science Intern, to join out 2020 Summer Internship Program, who is excited about working big corpuses of data and novel analytical…"
