,Companies,Jobs,Locations,Easy_Apply,Rating,Summary
0,Avero,Data Science Modeler,"Boulder, CO",Not Easy Apply,2.6," As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team."
1,UPMC,Director Integrated Data Science,"Loveland, CO",Not Easy Apply,3.7," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…"
2,Willis Towers Watson,Data Scientist,"Denver, CO",Not Easy Apply,3.7," University bachelor’s degree in data science, data analysis, statistics, applied mathematics, computer science, engineering, or any other related discipline;…"
3,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
4,PHOENIX,Sr Business Analyst / Data Scientist,"Denver, CO",Easy Apply,, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.
5,Valen Analytics,Data Engineer,"Denver, CO",Not Easy Apply,, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.
6,Horizontal,Data Scientist,"Broomfield, CO",Not Easy Apply,," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
7,Pricesenz,Data Scientist,"Broomfield, CO",Easy Apply,, Data Science: 3 years (Preferred). Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite…
8,xentity corporation,Data Science Analyst,"Denver, CO",Easy Apply,4.6, Data Engineer Tech – :Cleaning and Integrating Dirty Data. Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real…
9,Inscripta,"Senior Applications Scientist, Bioinformatics/Data Science","Boulder, CO",Not Easy Apply,3.0," Expertise in probability & statistics, machine learning, high dimensional and high throughput data analysis and fundamentals of data science, including data…"
10,Payfone,Data Science Analyst,"Denver, CO",Not Easy Apply,3.5, Working knowledge of basic data science concepts such as: Synthesize data learnings into compelling stories and communicate to stakeholders.
11,Maxar Technologies,Data Science Intern,"Westminster, CO",Not Easy Apply,3.7," Maxar is looking for a Data Science Intern, to join out 2020 Summer Internship Program, who is excited about working big corpuses of data and novel analytical…"
12,"Alteryx, Inc.",Data Science Journalist,"Broomfield, CO",Not Easy Apply,4.1, Some practical data science experience. Analyzing open source data to create practical examples that demonstrate data science techniques and concepts.
13,The18,Data Scientist,"Boulder, CO",Easy Apply,, Participate in the implementation of a data management platform to organize and act on our cross-platform data. Experience with social data or media is a plus.
14,Nutrien Ag Solutions,Junior Data Scientist,"Loveland, CO",Not Easy Apply,3.5," BS/BA degree (MS preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination of…"
15,Deloitte,Data Scientist,"Denver, CO",Not Easy Apply,4.0, The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.
16,Nexthealth,Senior Data Scientist,"Denver, CO",Easy Apply,4.3," Detailed knowledge of computer science including data structures, data modeling, distributed systems, and software design methods."
17,Transamerica,Data Scientist,"Denver, CO",Not Easy Apply,3.6," Master’s degree or PhD in computer science, machine learning, data science, mathematics, statistics, or related quantitative field."
18,BPMLinks,Data Scientist,"Denver, CO",Not Easy Apply,," Experience with common data science toolkits, such as R, MatLab, etc; Verify integrity of data used for analysis; Create automated anomaly detection systems."
19,Denver Health,Data Scientist - Behavioral Health,"Denver, CO",Not Easy Apply,3.7," Bachelors in biostatistics, clinical science, computer science, public health, statistics, or disciplines which include application of statistical analysis and…"
20,Cloud Agronomics,Lead Geospatial Data Scientist,"Boulder, CO",Easy Apply,," You hold at least a BSc in a quantitative field (agriculture science, computer science, mathematics, spatial statistics, remote sensing, or equivalent), with…"
21,Viola AI,Data Scientist,"Boulder, CO",Not Easy Apply,," Viola AI is looking for experts in data science and machine learning. Python, R, and bash scripting is sufficient but we like to see skills in leveraging…"
22,Deloitte,"Lead, People Analytics-Data Science","Denver, CO",Not Easy Apply,4.0," Locates and extract data from new data sources, finds new uses for existing data sources, structures and drives new data collection efforts, and provides…"
23,HP,Software Engineering Intern - Data Science AI/ML,"Fort Collins, CO",Not Easy Apply,4.0," Bachelor’s Degree Candidate with a focus on computer engineering, computer science, or related technical field. Document and test new software applications."
24,Dataiku,Data Scientist,"Denver, CO",Not Easy Apply,," Co-develop data science projects with our customers. Provide data science expertise to customers and internally to Dataiku’s sales, marketing, and R&D teams."
25,Vertafore,Data Scientist,"Denver, CO",Not Easy Apply,3.2," As a data scientist at Vertafore, you will be responsible for finding signals in complex and industry-unique data sets, developing innovative data science…"
26,Frontdoor,Head of Data Science,"Denver, CO",Not Easy Apply,, Define data science strategy for Frontdoor. Build the Data Science function at Frontdoor. You interested in working at the intersection of applied quantitative…
27,Vail Resorts,Audience Management Analyst,"Broomfield, CO",Not Easy Apply,4.0," Collaborate with cross-functional teams, marketing channels, guest experience/insights research, and data science to build a cohesive and actionable customer…"
28,Unsupervised,Data Scientist,"Boulder, CO",Easy Apply,," Comfort writing end-to-end data science pipelines, taking raw data to models serving predictions. Academic background related to Data Science (degrees in…"
29,"ArcherDX, INC.",Director of Data Science (Analytics) (ADX-234-19),"Boulder, CO",Not Easy Apply,, Director of Data Science (Analytics) (ADX-234-19). Capitalize on opportunities to use data science approaches to generate new value from Archer’s data.
30,Horizontal,Data Scientist,"Broomfield, CO",Easy Apply,," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
31,Vail Resorts,Senior Manager of Data Science,"Broomfield, CO",Not Easy Apply,4.0, Vail Resorts is looking to hire a Senior Manager of Data Science to join our Data Science team. This role will report directly into the Director of Data Science…
32,Vail Resorts,Principal Data Scientist,"Broomfield, CO",Not Easy Apply,4.0, Vail Resorts is looking to hire a Principal Data Scientist to join our Data Science team. This role will report directly into the Director of Data Science.
33,Ball Aerospace,Data Scientist I (668421),"Boulder, CO",Not Easy Apply,3.8," Demonstrated capability of (end to end data project) generating or understanding a hypothesis, evaluating data needs and expectations; manipulating data to…"
34,Aegon,"Internship - Data Scientist, Denver CO (Summer 2020)","Denver, CO",Not Easy Apply,3.9," Pursuing a Masters or PHD in computer science, machine learning, data science, mathematics, statistics, or a related quantitative field."
35,SSB Consulting Group LLC,Data Scientist,"Greenwood Village, CO",Easy Apply,," Experience in managing and manipulating large, complex data sets. Experience with data visualization tools (Tableau, PowerBI, matplotlib, seaborn)."
36,DISH,Data Scientist,"Englewood, CO",Not Easy Apply,3.3, Great communication skills - someone who is passionate about evangelizing the value ofadvanced data science capabilities.
37,HP,Head of PS Artificial Intelligence & Data Science.,"Fort Collins, CO",Not Easy Apply,4.0," Computer Science, Math, and/or Software Engineering background. The HP Personal Systems group is looking for an executive to drive our Artificial Intelligence…"
38,CenturyLink,Director Data Science and Analytics,"Broomfield, CO",Not Easy Apply,3.5," Fluent in data fundamentals: SQL, data manipulation using a procedural language, statistics, experimentation, and modeling. 15+ years of overall experience."
39,xentity corporation,Data Engineer,"Denver, CO",Easy Apply,4.6," Finally, our data science analysts will need to meet the following: Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of…"
40,Pie Insurance,Predictive Modeling/Data Scientist,"Denver, CO",Not Easy Apply,, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
41,RiskMatch,Data Scientist,"Denver, CO",Not Easy Apply,," As a data scientist at Vertafore, you will be responsible for finding signals in complex and industry-unique data sets, developing innovative data science…"
42,Comcast,CCIP Intern- Data Scientist Anly Intern,"Centennial, CO",Not Easy Apply,3.7," Constructing forecasts, recommendations and strategic/tactical plans based on applying data science techniques to business data."
43,Kaiser Permanente,Data Engineer 1,"Greenwood Village, CO",Not Easy Apply,4.2," One (1) year experience in data modeling and analytics. Bachelor's degree in Computer Science, CIS, or related field and Minimum three (3) years experience in…"
44,NASDAQ,Software Engineer with Data Experience,"Lakewood, CO",Easy Apply,3.8, Some experience with Hadoop ecosystem OR cloud vendor data warehouse or data lake technologies. Big Data: 3 years (Required). Big Data Experience – 1+ years.
45,SpotX,Data Scientist,"Broomfield, CO",Easy Apply,4.1," Monitor, tune, and extend existing Data Science solutions/products. Join SpotX as a Data Scientist. Retrieve, clean, transform and overlay 3rd-party data."
46,Panasonic Corporation of North America,Data Engineer Intern (Summer 2020),"Denver, CO",Not Easy Apply,3.8, Work with Data Science and Deployment on new analytics data sources. Experience with data integration and data movement. What You’ll Get to Do:
47,Aegon,Data Scientist,"Denver, CO",Not Easy Apply,3.9," Master’s degree or PhD in computer science, machine learning, data science, mathematics, statistics, or related quantitative field."
