,Companies,Jobs,Locations,Easy_Apply,Rating,Summary
0,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
1,Seen by Indeed,Data Engineer,"Seattle, WA",Easy Apply,,
2,Liberty Mutual Insurance,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication","Seattle, WA",Not Easy Apply,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.
3,Tredence Inc.,Data Scientist / Data Analytics,"Seattle, WA",Easy Apply,," Data analytics: 3 years (Preferred). We are looking for Data Scientist in Seattle, WA. for our company (Tredence). Hope you are doing well.*."
4,Seen by Indeed,Data Warehouse Engineer,"Seattle, WA",Not Easy Apply,,
5,red violet,Data Scientist,"Seattle, WA",Easy Apply,2.0, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
6,Big Fish Games,Senior Data Analyst,"Seattle, WA",Not Easy Apply,3.6," The Data Science team is looking for a talented Lead Data Analyst to extract insights from player data, build visualizations that tell a story, partner with the…"
7,Gee Whiz,Business Intelligence Analyst,"Orondo, WA",Easy Apply,," 2+ years of relevant experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
8,Indeed,Business Intelligence Analyst,"Seattle, WA",Easy Apply,4.4," 3+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…"
9,Novo Nordisk,Early Talent Internship - Data Science,"Seattle, WA",Not Easy Apply,4.1, Such projects include applying data science when developing advanced medical devices and digital decision support solutions.
10,Ars Quanta,Data Scientist,"Seattle, WA",Not Easy Apply,,
11,Zillow,Data Scientist - Economic Data,"Seattle, WA",Not Easy Apply,3.8," You have experience directly querying multi-terabyte-sized data sets including clickstream data (like Google Analytics), third party data (like Facebook) and…"
12,Pactera,Data Scientist,"Redmond, WA",Easy Apply,3.3, The person will be responsible for working on building models and preparing data related to customer help telemetry data from Application systems and must be…
13,Hewlett Packard Enterprise,Data Science Intern,"Seattle, WA",Not Easy Apply,3.7," Highly desired: Knowledge of data science methodology. Highly desired: Python data science libraries, such as SciPy, Numpy, etc. Want to know more about it?"
14,Triplebyte,Machine Learning Engineer,"Seattle, WA",Easy Apply,," For any company building software, this is crucial for success. Fields your work will touch on*. We have a novel dataset of candidate profiles and interview…"
15,Apple,"Siri - Data Scientist, Data Organization","Seattle, WA",Not Easy Apply,4.2, Extract information from structured and unstructured data coming from Siri's computational architecture. You use good judgment balancing art and science when…
16,Futuralis Tech,Data Science/Data Analyst/ETL,"Seattle, WA",Not Easy Apply,," Demonstrated strength in SQL, data modelling, ETL development, and data warehousing. Experience building/operating highly available, distributed systems of data…"
17,Textio,"Data Science Manager, Analytics","Seattle, WA",Not Easy Apply,, Our team needs a Data Science Manager who is passionate about analytics. You have experience building and leading collaborative data science teams in a dynamic…
18,Electronic Arts,Data Scientist I,"Seattle, WA",Not Easy Apply,3.9," Can interpret and manipulate large structured and unstructured data, develop recommendations. Aggregate and analyze large datasets to identify behavior trends…"
19,Beyondsoft Consulting,Data Scientist,"Redmond, WA",Not Easy Apply,3.4," The skills set we’re looking for is something like 75% data scientist/econometrics and 25% data engineer. On the data engineering side, it’s really just about…"
20,Deloitte,Data Scientist,"Seattle, WA",Not Easy Apply,4.0, The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.
21,Chameleon Technology,Data Scientist,"Redmond, WA",Not Easy Apply,," 3+ years of experience in a Data Engineering and/or Data Science role, with a focus on building data pipelines or conducting data intensive analysis."
22,REI,Data Scientist Intern,"Bellevue, WA",Not Easy Apply,4.1," Examples of our Data Science Intern projects may include: Data Wrangling, Machine Learning & Data Science to solve business problems and drive incremental…"
23,Red Violet Inc.,DATA SCIENTIST,"Seattle, WA",Not Easy Apply,, Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
24,Change Research,Technical Data Analyst,"Alto, WA",Not Easy Apply,4.5, Working with our data science and engineering teams to create best practices around weighting and analysis. Well-versed in the language of data.
25,"Amazon.com Services, Inc.",Twitch Prime Data Scientist Intern,"Seattle, WA",Not Easy Apply,3.6," PhD degree in Engineering, Computer Science, Machine Learning, Operations Research, Statistics or related fields."
26,King County,Data Scientist,"Seattle, WA",Not Easy Apply,4.1," Work with large, complex data sets. 2-years' of work experience in data analysis related field. As part of a new IT service focused on data, we are looking for…"
27,Microsoft,"Director, Analytics & Data Science","Redmond, WA",Not Easy Apply,4.2," Experience in industry data science (e.g., machine learning, predictive maintenance) preferred. Minimum 8+ years of relevant experience in advanced data…"
28,HBO,"Data Science Engineer, Analytic Capabilities","Seattle, WA",Not Easy Apply,4.3," As a data science engineer on the Analytic Capability team, you will be building a data analytic infrastructure that supports our data science and analytic…"
29,Wish,Data Scientist,"Seattle, WA",Not Easy Apply,3.9, A minimum of 2 years of Data Science experience in technology or research industry. We’re looking for talented Data Scientists to continue to improve our user…
30,"Discovery Communications, LLC",Data Scientist,"Bellevue, WA",Not Easy Apply,4.2, Make data science techniques approachable and understandable to non-data scientists. Minimum of 3+ years of proven technical experience in data science and…
31,Futuralis Tech,Data Scientist,"Seattle, WA",Not Easy Apply,," Demonstrated strength in SQL, data modelling, ETL development, and data warehousing. Experience building/operating highly available, distributed systems of data…"
32,"Accolade, Inc.",Data Science (Applied Machine Learning) Intern,"Seattle, WA",Easy Apply,3.4," Pursuing Bachelors or graduate degree in computer science, math and statistics, or natural sciences. Prior experience with healthcare data is a plus."
33,Conversica,Data Science Manager,"Seattle, WA",Easy Apply,3.5," Advanced proficiency with Python, TensorFlow and other data science tools. Lead a data science team to solve and contribute to the innovative products we are…"
34,"Amazon.com Services, Inc.","TPM, Machine Learning & Data Science","Seattle, WA",Not Easy Apply,3.6," As a key member on the ML and Data Science team you will partner with a team of experts across the fields of Product Management, Software Development, Data…"
35,Neal Analytics,Jr Data Analyst,"Redmond, WA",Easy Apply,3.0," Responsible for data de-duplication (matching and merging data), data cleansing (matching, linking, updating records, such as organization records, in batch and…"
36,Convoy,Data Scientist - Shipment Success,"Seattle, WA",Not Easy Apply,3.9," Experience with Tableau or other similar data visualization tool. M.S. in economics, statistics, business analytics, operations research, natural science or…"
37,AnswerIQ,Data/NLP Scientist,"Bellevue, WA",Easy Apply,," AnswerIQ is looking for Data Scientists to join our data science team. (Required) Master or higher degree in computer science, statistics or mathematics with…"
38,"Amazon.com Services, Inc.",Data Science Intern,"Seattle, WA",Not Easy Apply,3.6," Enrolled in Master’s or Ph.D. degree in Math, Statistics, Computer Science, or related science field. Experience with big data: processing, filtering, and…"
39,Tech Era Inc,Data Analyst,"Seattle, WA",Easy Apply,, Strong interest in Data Science. Acquire data from primary or secondary data sources and maintain databases/data systems. Salary: $45.00 to $50.00 /hour.
40,"Amazon.com Services, Inc.",Data Scientist - Forecasting,"Seattle, WA",Not Easy Apply,3.6," MS in a quantitative discipline such as Statistics, Mathematics, Data Science, Business Analytics, Economics, Finance, Engineering, or Computer Science."
