,Job_Title,Company,Location,Number_of_Applicants,Description
0,"Data Engineer, GMS",Facebook,"Menlo Park, CA, US",38 applicants,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is looking for exceptionally talented and experienced engineers to join GMS Technology team in Menlo Park, California. Our team provides analytics and workflow tools for Global Marketing Solutions (GMS), partnering with sales, marketing, measurement, support and operations teams.In this role, you’ll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and get an opportunity to solve some of the most challenging business and engineering problems, at a scale that few companies can match. You will do so by partnering with stakeholders/teams and building scalable, reliable solutions that provide business critical insights and metrics, while ensuring the best uptime and responsiveness. This is a full-time position based in Menlo Park, CA.ResponsibilitiesManage data warehouse plans for a business vertical or a group of business verticalsBuild data expertise and own data quality for allocated areas of ownershipDesign, build, optimize, launch and support new and existing data models and analytical solutionsPartner with internal stakeholders to understand business requirements, work with cross-functional data and products teams and build efficient and scalable data solutionsConduct design and code reviewsWork with data infrastructure to triage infra issues and drive to resolutionManage the delivery of high impact dashboards, tools and data visualizationsMinimum QualificationBS/B.Tech./M.Tech in Computer Science, Math or related field2+ years of experience in the data warehouse space, custom ETL design, implementation and maintenance2+ years of experience in SQL or similar languages, and development experience in at least one language (Python, PHP etc.)Experience with data architecture, data modeling, schema design and software developmentExperience in leading data driven projects from definition through interpretation and executionExperience with large data sets, Hadoop, and data visualization toolsExperience initiating and driving projects, and communicating data warehouse plans to internal clients/stakeholdersPreferred QualificationExperience working in support of diverse communitiesFacebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
1,Data Science Intern (Content),Udemy,"San Francisco, CA, US",161 applicants,"Data Science Interns Draw On a Combination Of Quantitative Methods And Product Intuition To Find Actionable Insights That Drive Key Business Decisions At Udemy, Answering Questions Such AsWhat makes a course great?Are ratings a reliable signal of course quality in a two-sided marketplace?Which subject areas have unmet demand? Are saturated?What are the drivers and indicators of a healthy marketplace?As a data science intern focused on content, you’ll be partnering with business leaders, marketers, sales representatives, and engineers to identify, scope, and execute on data-centric analyses that drive Udemy’s content strategy. Project areas include market intelligence, content curation, and marketplace health insights.Success in this role requires a combination of business intuition, broad knowledge of statistical methods, practical data analysis experience, and strong communication and collaboration skills.ResponsibilitiesCollaborate with stakeholders to inform business directionRefine and scale core content processesWrite scripts to improve the quality and accessibility of dataDefine key metrics and build actionable dashboardsProactively influence prioritization through data-driven insightsDesign and analyze experiments + conduct ad hoc analysesQualifications2+ years of experience working with complex data setsBroad knowledge of applied statistics and experimental designStrong product intuition and business-oriented mindsetAbility to communicate effectively with non-technical stakeholdersProficiency with SQL, Excel, and 1+ programming languages (e.g., R or Python)Preferred But Not RequiredExpert level data storytelling and data visualization abilityExperience with BI tools (e.g. Looker, Chartio, or Tableau)About UdemyWe believe anyone can build the life they imagine through online learning. Today, more than 40 million students around the world are advancing their careers and passions by exploring and mastering new skills on Udemy, and expert instructors are able to share their knowledge with the world. Through our global marketplace and our solutions for businesses and governments, we connect people everywhere with the skills they need for success in work and life. We’re a close-knit bunch that enjoys problem-solving and collaboration, and we share a serious belief in the power of learning and teaching to change lives. Udemy’s culture encourages innovation, creativity, passion, and teamwork. We also celebrate our milestones and support each other every day.Founded in 2010, Udemy is privately owned and headquartered in San Francisco’s SOMA neighborhood with offices in Denver (Colorado), Dublin (Ireland), Ankara (Turkey), and São Paulo (Brazil).Udemy In The NewsThe Key To Solving Future Skills ChallengesAlgorithms are coming for their jobs, so workers are teaching themselves algorithmsDistractions Are Costing Companies Millions. Here's Why 66 Percent of Workers Won't Talk About ItHow Soft Skills Can Help You Get Ahead in a Tech World"
2,"Data Scientist, Operations Data Science",Google,"Mountain View, CA, US",Over 200 applicants,"Minimum Qualifications Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included. Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL) Preferred Qualifications PhD in Operations Research, Industrial Engineering, Statistics or related field. 4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems. Experience designing and building statistical forecasting models. Experience designing and building machine learning models. Excellent problem-framing, problem-solving and project management skills. Excellent customer service and team collaboration skills. About The JobAt Google, data drives all of our decision-making. Data Scientists work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical rigor and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution.As a member of the Operations Data Science team, you will apply operations research and statistical methods to solve challenges related to compute, storage, network, and datacenter capacity for both Google’s internal services and Google Cloud Platform. You will work broadly across Google’s Platforms Engineering, Systems Infrastructure, and Site Reliability Engineering teams to optimize our deployment of resources and drive innovation in our software stack, allowing for efficient use of resources.As a Data Scientist, you will think critically and strategically about Google’s cloud as a technology, a business, and as an operation. You will be comfortable discussing total cost of management with hardware engineers, resource optimization with software engineers, or reviewing fleet plans and deployment policies with operations executives, all based upon the analytical models that you will be developing.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We're always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible.Responsibilities Lead projects with hands-on analysis and modeling, drawing from multiple of analytical methods to choose the right tool and right level of complexity appropriate for the business challenges. Engage broadly with the organization to identify, prioritize, frame, and structure complex and ambiguous challenges, where advanced analytics projects or tools can have the biggest impact. Identify and communicate the challenges and opportunities that the group should be working on. Help define the analytical direction and influence the direction of the associated engineering and infrastructure work. Articulate business questions and use mathematical techniques to arrive at an answer using data. Translate analysis results into business recommendations. At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
3,Data Science Analyst,Petco,"San Diego, CA, US",123 applicants,"Our vision at Petco is Healthier Pets. Happier People. Better World. We’re making things better for pets, people and the planet through our Think Adoption First philosophy, the Petco Foundation and other important initiatives that focus on putting animals first, educating pet parents and reducing our carbon footprint. The journey starts with knowledgeable, passionately engaged associates who are proud to recommend Petco as a place to work, who believe in our Vision and who are committed to delivering a superior customer experience.From our retail stores and our network of Distribution Centers to our Corporate offices, you'll work with others who share your values and commitment. We seek individuals who are passionate about animal welfare, have great people skills and are driven to grow and advance in their careers with us. Our ongoing growth is creating exceptional opportunities for professional development and personal enrichment throughout our organization.Position PurposeThe Data Science Analyst will be in our San Diego, CA location and will be on the Merchandising Optimization team. The successful candidate is responsible for leveraging strategic insights and advanced analytics to understand financial trends, customer behavior, and the competitive landscape in order to make the best decisions about the products we carry and the promotions used to maximize financial performance.Within the team you help guide our pricing strategy by analyzing historical sales performance for key opportunities, creating accurate promotional forecasting models, and translating complex data and analysis into clear insights and tangible actions that can be executed by the business.Essential Job FunctionsThe incumbent must be able to perform all of the following duties and responsibilities with or without a reasonable accommodation. Develop new pricing models and initiatives that help the Merchandising team make the best decisions to maximize promotional lift, strengthen vendor performance, and drive strong return on investment (ROI). Leverage advanced analytical techniques and statistical programming languages to find patterns in customer purchase behaviors, competitive pricing, and sales performance trends (regression analysis, price elasticity, significance testing). Help design and develop automated dashboards and templates that accurately forecast multiple pricing and merchandising scenarios to streamline the decision-making and execution process. Utilize strong communication skills to present analyses and findings to merchants and vendors by effectively translating complex data into clear insights, opportunities, and tangible business recommendations. Collaborate with internal data science teams by providing direction on how to best utilize more advanced techniques and machine learning to achieve strategic objectives and business goals within the Merchandising organization. Display deep intellectual curiosity, creativity, and commitment to learning in order to solve critical business problems and push the boundary of our capabilities.Nature of SupervisionIncumbent is expected to make independent decisions within their functional area that align with corporate objectives. Analyst will be provided with expected project outcomes and general direction with little direct supervision on day-to-day process.Planning and Problem SolvingExpected to plan, prioritize and complete multiple projects with varying deadlines under minimal supervision. The incumbent will regularly be required to use their judgment when preparing analyses and determining best approaches to solve broad business problems, ensuring that all risks and opportunities have been evaluated.ImpactThe incumbent will help drive corporate strategies by ensuring data is accurate, providing reports on key metrics to senior leaders, and working with the broader analytics team to provide timely insights that improve overall company performance.Supervisory ResponsibilityNo direct reports. Incumbent will collaborate and lead cross-functional business projects.Education/Experience Bachelor’s Degree in Economics, Statistics, Math or related business field; Master’s Degree preferred. 1 or more years of experience in Analytics or Statistics capacity; 2 years ideal. Experience building data sets from multiple sources required (SQL preferred) Experience with statistical programming languages required (R, SQL, SAS, Python, VBA). Experience with pricing, merchandising or the retail industry strongly preferred. Ability to think conceptually and creatively about problems and solutions Strong interpersonal communication skills, verbal and written, required due to the nature and level of interaction with senior management Demonstrated ability to prioritize workload and ability to manage multiple projects while meeting deadlines.Work EnvironmentThe majority of job duties are conducted while seated indoors at a computer terminal with little or no exposure to hazards. Occasional travel may be required for presentations, training, and conventions.ContactsIncumbents in this position regularly interact with the senior officers of the company in both written and verbal forms. Incumbents must have the ability to influence, resolve conflict, negotiate and communicate with all levels of associates at Petco.Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification.Primary LocationUnited States-California-SAN DIEGO-10850 Via Frontera - NSC Building 1 (0016)ScheduleFull-timeJobMarketing"
4,Director Data Science,Esurance,San Francisco Bay Area,34 applicants,"Esurance is looking for a Director Data Sciences Group to join a dynamic and award-winning team of individuals who are committed to making insurance smarter, easier, and dare we say - cooler. As part of a growing company that is focused on providing an outstanding customer experience, you’ll have the opportunity to expand your skills and discover your potential.   If you’re looking for a career at a socially conscious company that offers great benefits — including matching 401k and tuition reimbursement — then you may have just found your new home.   Esurance combines the spunk of a startup company with the backing of Allstate (the largest publicly held personal lines insurer in the U.S.) to create a unique, energized, and exciting place to work.    The Data Science Group is a centralized team that is responsible for helping business units make objective decisions using science. The group delivers cutting edge ML capabilities and in-depth consultative analyses to develop tangible and actionable recommendations that are then implemented in real-time to improve business operations. As the Director Data Sciences you will lead and manage the data science group (currently consists of 15 Data Scientists several of them with PhDs & Post Docs). You will be the face of the data science team for internal clients and will work with key business partners to identify collaboration opportunities, ideate with business groups to develop a point of view on how advance analytics / Machine Learning can improve status quo and you will work with the data science team to develop an execution plan. Additionally, you will also be responsible for ensuring that we hire the best in class data science team and for fostering an intellectual and collaborative environment.     Job Responsibilities: Operates as the internal client’s thought partnerProvides in-depth consultative analyses to senior business leaders Provides data mining, pattern and root cause analyses to help business units understand areas of untapped opportunity Develops business cases and recommendations for innovations to address business opportunities Produces ROI models and delivers build vs. buy recommendations Presents design, analysis, modeling choices and recommendations to CXO level audiences Develop a roadmap to best support business initiatives Collaborate closely with internal business partners and identify opportunities where machine learning can add value Owns R&D and maintenance of real-time decision systems maximizing conversion, LTV and alternate revenue streams Formulates an analytic data-driven approach to address business questions Designs technical solutions for decision systems and the development of modeling algorithms to be deployed to production Manages, mentors, and develops the overall team of Data ScientistsChallenge the internal data science team on advance analytical concepts Hires, trains, retains and challenges a best-in-class data science and analytics professionals Responsible for the employment, promotion, associate performance evaluation, training, motivation, counseling/mentoring, and discipline of assigned associates Manages other managers of data science and/or principle data scientists   Qualifications: Proven success managing teams of data scientists and leading Machine Learning projects Ability to foster a team of data scientists who create analytic solutions. Exceptional business acumen, with abilities to develop strategic and tactical recommendations across multiple areas of the business through research and collaboration. Advanced knowledge of data science concepts and experience working with diverse large data Excellent internal client (including Executive level) and external vendor management skills. Excellent communication skills both oral and written with strong analytical and presentation skills including advanced fluency with Microsoft business applications (Word, Excel). Strong negotiation skills and ability to direct cross functional team members. Strong PowerPoint skills   Experience / Education: Master’s Degree in Statistics, Business Administration, a related field or equivalent education required PhD preferred and / or strong consulting background preferred 10+ years relevant quantitative and qualitative research and analytics experience.     Why you'll love working for us Esurance offers an exciting total rewards package to include: Benefits eligibility on day 1 401k + company matching 3 weeks paid parental leave following the birth, adoption or foster placement of a child Tuition reimbursement & student loan repayment program Pet insurance discount Give Time, Get Time volunteer program And much more! To perform this job successfully, an individual must be able to perform each essential job duty satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform essential job functions.   The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen."
5,"Scientist II / Senior Scientist, Computational Biology",23andMe,"South San Francisco, CA, US",Be among the first 25 applicants,"Who We AreSince 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.23andMe's Therapeutics team is committed to discovering and developing new therapies that can offer significant benefits for patients. This dedicated research and development group in South San Francisco identifies novel targets using 23andMe's genetic database and performs preclinical research to advance programs for disease areas with high unmet need.Who You AreWe are looking for a quantitative scientist with extensive experience in computational biology and human genomics. Biological interpretation of the unparalleled wealth of genetic signals available to 23andMe requires efficient computational methods that augment our database with public or internally generated high-throughput functional data, as well as methods to summarize this data in ways that enable decision making. Ideal candidates will use rigorous quantitative reasoning, creativity, and understanding of biological systems to develop robust tools that drive discovery and interpretation. The successful candidate will have significant experience working with large genomic datasets using the best practices in statistical data analysis. Our team is very collaborative, and the ability to communicate ideas and results to other scientists is key.What You’ll Bring Ph.D. -- or M.S. with at least 5 years of work experience in a research setting -- in Computational Biology, Bioinformatics, Computer Science, Statistics or a related field Hands-on experience working with very large genomic datasets Extensive experience in writing robust code in a shared development environment; strong programming skills in R Background in statistical data analysis or machine learning Demonstrated ability to communicate complex results to colleagues from a wide range of scientific backgrounds Pluses Development of interactive applications for a biological audience using the Shiny framework Contribution to an open source project, especially in R Note: Job title will be commensurate with experience and academic credentialsAbout Us23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com.At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
6,Director of Data Science,Komodo Health,San Francisco Bay Area,36 applicants,"We are looking for a Director of Data Science to play a critical role in the success of our growing Data Science team. You will lead a group of data scientists and data engineers within the Data Science team that is involved in all aspects of building data products. You will be empowered to focus on how to make your team more successful by communicating strategy, prioritizing projects, facilitating collaboration, supporting career development, eliminating roadblocks, and ensuring that processes and systems align with company goals. You will be growing as an engineering leader in within a high-performing team that works with the biggest, most complete healthcare datasets to solve real-world problems that deliver value to our clients while being part of the collaborative, fun, nurturing Komodo community! As Director of Data Science, you will:Lead your team of engineers/data scientists and support their technical decision makingBe aware of new tools/frameworks your team uses to give better technical directionRegularly provide smart, steady feedback to lead your team to higher levels of achievement- intervening judiciously and with a light touch while leading by exampleSet clear expectations among your team in the project environment while rapidly aligning to changing business goalsWork with your reports on defining and executing effective strategies to scale ad-hoc advanced analytics prototypes to large-scale solutionsServe as a subject matter expert in the entire range of the data science domainTake ownership of key workflow areas across the data science organizationCommunicate to stakeholders across all functionsTranslate technical concepts to non-technical audiences in a succinct and concise wayREQUIREMENTS5+ years of successfully leading a team in a data-driven product settingProven track record in contributing as a highly effective individual contributor in delivering data-driven products and solutionsDemonstrated success in achieving business goals as a leader with a demonstrable willingness to get in the weeds of the work when neededStrong ability to communicate with both technical and non-technical audiences/stakeholdersProven ability to earnestly seek, integrate, and effectively apply data to solve business challengesNICE TO HAVEAdvanced degree (Ph.D. or MBA)5+ years’ experience with Python, Scala, or Java, database technologies, and distributed frameworks (Hadoop, Spark, etc.)Experience with applied machine learning or algorithm developmentGenuine interest to work in the healthcare domain, at a fast-paced growing and ambitious startupExperience working with proprietary secondary data including medical / pharmacy claims, prescription data, sales data, and longitudinal patient-level dataBENEFITSCompetitive salary and equity compensationFull Medical, Dental, and Vision benefits401k plan with employer matchFlexible hours and a “use as you need” vacation policyOpportunities to attend industry conferences and eventsAt Komodo Health, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products, and our community. Komodo Health is proud to be an equal opportunity workplace"
7,Data Science Manager,"Techaxis, Inc",San Francisco Bay Area,66 applicants,"We are urgently looking for a Senior Manager / Head of Data Science who can lead AI for the client and Someone who is managing the team.   Location : San Francisco Bay Area  Responsibilities:   Lead      workshops, innovation sessions with clients, multi-disciplinary, and      cross-functional teams to identify business opportunities and artificial      intelligence solutions utilizing processes and best practices to plan,      lead, and execute delivery of artificial intelligence engagements across      different areas (risk management, financial services, mergers and      acquisitions, and public policy)  Lead      in a fast-paced and dynamic environment utilizing virtual and face-to-face      interactions; Manage complex workstreams, expectations, budgets,      deliverables, and multiple responsibilities using structured approaches      for operational excellence and communicating results to executive level      audiences  Work      with clients to discover data sources, and create data requests; Lead the      ETL process to ingest structured data and annotation processes to enrich      unstructured data; Leverage a variety of data sources (social media, news,      internal/external documents, images, video, voice, emails, financial data      and operational data)  Leverage      a variety of tools and approaches to solve complex business objectives,      from Statistical Natural Language Processing, Information Retrieval/Extraction,      Machine Learning/ Deep Learning, Image Processing, Rules Engines,      Knowledge Graphs and Semantic Search  Plan      and manage engagement objectives and key deliverables using analytics      processes to mitigate risks in data, modeling, validation and delivery      while working with team members to capture assumptions, risks, and develop      approaches to mitigate issues  Refactor,      deploy, and validate models; work with clients iteratively to validate      performance metrics, and sample output to drive towards a business-first      solution utilizing APIs, platforms, containers, multi-threading and      distributed processing to achieve throughput goals   Qualifications:   Minimum      of ten years of experience leading teams of at least ten data scientists,      engineers, and other data & analytics professionals, including      business development, requirements gathering, people development, and      quality management using analytics and software development processes for      natural language processing, machine learning on unstructured data, and/or      information retrieval; Multidisciplinary backgrounds  Master's      degree from an accredited college/university in Computer Science,      Engineering, or related fields; PhD from an accredited college/university      is preferred  Ability      to work with the business to understand business goals to create an      artificial intelligence solution and an accompanying business case that      meets the business objectives and business constraints; With expertise in      delivering projects using leading processes including strong knowledge of      data discovery, cleaning, model selection, validation and deployment  Understanding      of data preparation, machine learning, deep learning, natural language      processing, and development practices (testing, code design, complexity,      and code optimization); Ability to discuss mathematical formulations,      alternatives, and impact on modeling approach  Fluency      in Python; Proficiency in AI related frameworks (NLTK, Spacy,      Scikit-Learn, Tensorflow); and experience with platforms (Google Cloud,      Azure, and AWS); Ability to pick up new languages and technologies      quickly; Work efficiently under Unix/Linux environment with experience      with source code management systems like GIT; Work with a variety of      databases (SQL, ElasticSearch, Solr, Neo4j)  Ability      to travel up to eighty percent of the time; Applicants must be currently      authorized to work in the United States without the need for visa      sponsorship now or in the future     Note: Work authorization: Either US Citizenship OR Green Card Holder"
8,Data Science Intern,Pinterest,"San Francisco, CA, US",Over 200 applicants,"We’re looking for a Data Science intern to help build and scale Pinterest’s approach to experimentation so we can accelerate innovation on our product. You’ll apply quantitative analysis, statistical techniques and data mining skills to understand the limitations of running hundreds of simultaneous experiments, help us draw reliable insights with a fraction of the data, enable us to simplify the interpretation of experiments, and scale the number of experiments we run at Pinterest.What You’ll Do Perform deep dive analysis to understand and optimize the key levers of our ads and search ecosystems Design core metrics that serve as the North Stars for team efforts and model trade offs across product areas Explore alternative experimentation techniques to help internal teams evaluate their ideas faster Apply statistics, modeling, and ML to improve the efficiency of systems and relevance algorithms across Search, Home Feed, and Related Pins Work with product managers and engineers to design data products and debug A/B experiments What We’re Looking For Currently pursuing a MS/PhD in in statistics, math, economics, applied sciences, or computer science. Experience using Python, R, or SQL. Excellent communication skills and the ability to tell a complete narrative using data. Ability to connect data analysis to real business problems, in order to impact business performance. Must be graduating December 2020 or later."
9,Director Data Science,NortonLifeLock,"San Diego, CA, US",Be among the first 25 applicants,"Director Data ScienceUSA - California, San DiegoOverviewThe Senior Principal Data Scientist/Director, Data Science is an integral member of the team that develops and refines the statistical and machine learning models that power ID Analytics’ products and services. This team also drives innovation around data technology infrastructure and performs large scale data mining and analysis to support Product, Marketing, Engineering, Client Services, Sales, and customers.As a leader on this team, the Senior Principal Data Scientist/Director, Data Science is responsible for mentoring and guiding the projects and research performed by the team to ensure best practices and the highest quality of work, keeping abreast of emerging industry trends, and driving adoption of new technologies, as well as performing hands-on research and modeling activities.The ideal candidate will have extensive experience with machine learning and statistical modeling techniques, managing projects from requirements gathering through delivery, translating business requirements into technical solutions, collaborating with technical and business stakeholders across the company, leading and mentoring data scientists, and communicating with clients.This role can either be an individual contributor role, in which case leadership of projects will not include direct HR responsibilities, or a management role where HR responsibilities will be included.Responsibilities Leadership of modeling projects Provide key technical and business guidance to the team Provide project direction and supervision   Project management Develop and use effective project management procedures to schedule resources, communicate progresses, and ensure deliveries Make sound technical decisions based on facts and analysis   Provide sales support Be aware of and personally familiar with customer environment and needs, tailor all aspects of project tasks (sales support, implementation, and follow-up support) to suit customer needs Serve customer’s needs by presenting results that are understandable to clients and providing direct assistance to sales staff   Leverage technology to balance efficiency and long-term viability Develop or identify best practices in all analytic modeling tasks Provide technical support to product implementation that maximize profitability and/or efficiency Lead or encourage analytical research and new technology development to improve modeling techniques and results  Analytics/Machine Learning:  Design and build efficient systems to solve difficult analytics problem Expert knowledge of multiple machine learning algorithms for supervised and unsupervised learning Drive adoption of new research trends Lead complex analytics projects with uncertain business requirements; negotiate business requirements based on technical merits; communicate technical trade-offs  Data Management/Data Analysis/Data Mining: Identify data discrepancies and quality issues; conduct data mining and discovery of large data sets Advanced knowledge of large scale data mining and analysis algorithms, tools and technologies (e.g., MapReduce, spark, hive) Advanced knowledge of data security and encryption standards Critical reviews of data experiments to ensure accuracy, completeness, and feasibility.  Qualifications Master’s degree in a relevant technical discipline (Math, Engineering, Computer Science, Statistics or a similar field) with at least 8 years of job experience or Ph.D. degree in a relevant technical discipline with at least 6 years of experience preferred  5-6 years of experience using machine learning to build advanced predictive models using large data sets to solve complex business problems.  Strong background in Unix/Linux system architecture and command line tools Deep experience with some of the following: Java, Python, Scala. 1-3 years experience with cloud architectures/distributed computing frameworks such as Hadoop, AWS/EMR, BigQuery, etc. Experience with software engineering principles/best practices  Strong interpersonal and communication skills (both written and oral) including the ability to communicate complex technical or statistical concepts to a non-technical audience. Fraud and credit risk management industry experience in developing scoring models is preferred. At least 4 years of experience leading projects, teams and managing Data Scientists Strong analytical skills in project planning, technical decision making, and product support Experience understanding the larger compliance and regulatory requirements that impact model building and how process/procedures in the modeling framework support those needs LI-GVSymantec is proud to be an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive and accessible environment for all employees. All employment decisions are based on merit, experience, and business needs, without regard to race, color, national origin, age, religion, sex, pregnancy (including childbirth or related medical conditions), genetic information, disability (physical or mental), medical condition, marital status, sexual orientation, gender identity or gender expression, military or veteran status, or any other consideration made unlawful by federal, state, or local law. Symantec strictly prohibits unlawful discrimination based on such protected characteristics and seeks to recruit the most talented candidates from diverse cultures and backgrounds.We also consider for employment qualified individuals with arrest and conviction records. In addition, Symantec will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Learn more about pay transparency.EEO is the law. Applicants and employees of Symantec Corporation are protected under Federal law from discrimination. See the EEO poster and supplement .Posted 30+ Days Ago Full time 49498Symantec Corporation (NASDAQ: SYMC), a global leader in cyber security, operates one of the world’s largest cyber intelligence networks allowing organizations, governments, and people to secure their most important data wherever it lives. Enterprises across the world rely on Symantec for integrated cyber defense against sophisticated attacks across endpoints, infrastructure, and cloud. More than 50 million people and families rely on Symantec’s Norton and LifeLock Digital Safety Platform to help protect their personal information, devices, home networks, and identities at home and across their devices.Relentlessly protect the world’s information. Make a difference at Symantec. Across the globe, we are an ‘essential’ partner to both consumers and businesses of all sizes. We combine our talents, our brains, and our creative energy to reinforce our place as a world-class technical community.Our most critical asset at Symantec is the talent we hire - you! We look for people who have a desire to excel and reflect our values: Innovation, Action, Customer-Driven, and Trust. We recognize that every opening in our company is a chance to increase Symantec's competitive advantage, and we are willing to invest in you in order to win.Symantec is committed to requests for reasonable accommodations to assist you in applying for positions at Symantec including resume submissions. If you need to request an accommodation, please reach out by email to Talent Acquisition or contact HR Service Exchange ."
