,Job_Title,Company,Location,Number_of_Applicants,Description
0,Senior .Net Developer,PDDN,"Orem, UT, US",Be among the first 25 applicants,"Job Title: Senior .NET Developer Location: Provo, UT Duration: 3-6 months contract to hire Job Description: JOB RESPONSIBILITIES: Design and engineer scalable, reliable, secure software solutions to solve complex business opportunities Identify system performance, stability, and security deficiencies and design appropriate solutions Help develop team standards and best practices that promote quality, consistency, and maintainability Participate in architectural oversight committees to review and improve proposed solutions Understand business goals, market trends, and technology advancements to anticipate change Develop and maintain accurate and detailed process flows, diagrams, and technical specs Contribute 20% of time to production support, production operations, and other systems support activities including participating in on-call schedules and rotations Collaborate and communicate with team members, project managers, and internal customers Attend regular planning meetings, daily stand-ups, design reviews, quality assurance reviews, etc REQUIRED SKILLS: 10 years of software engineering experience, preferably using .NET/C# Mastery of data types, algorithms, object oriented programming Web service, web app, and console app development experience SQL/TSQL experience and knowledge Demonstrated problem solving ability Ability to work on multiple tasks and deliver results with aggressive timelines Agile methodology experience Excellent communication skills Bachelor's Degree in Computer Science, Software Engineering, Information Systems, or equivalent Preferred : Architecture and engineering experience with billing, payment processing, and/or financial systems Experience with continuous integration and automated deployment Experience with Entity Framework, Linq, RabbitMQ, Docker Containers, JIRA, Splunk preferred Experience with these models and processes: Source Control & Release Management, Domain Driven Development, Micro-Services Architecture, Circuit Breaker Patterns, Web Services, Windows Services, Console Apps, Relational and Document-Based Databases - provided by Dice"
1,"Sr. Data Science Manager - SQL, Postgres",CyberCoders,"Eagle Mountain, UT, US",Be among the first 25 applicants,"If you are a Data Science Manager with 3+ years of R or Python experience, please read on!We are looking for an experienced Data Scientist to join our team. You will lead a team of Data Scientists, and play a pivotal role in building out and supporting our new API division through the development of data matching, customer profiles and business profiles. Our team is comprised of Data Engineers, Data Scientists, and Business Intelligence Analysts that use our vast and growing data to support and enhance our data and ML models that power our products and decision making. You will use your understanding of modeling, architecture, scaling, and leading people to contribute to the future of data at our company.Our problems are open-ended and dont always have clear paths and solutions. We understand the workflow from a high level, and that context helps us build the right solutions. This is where your unique skills and interests come into play. We are looking for someone who is driven, with a strong intellectual curiosity of understanding challenges and problems, works well cross functionally, and can provide actionable insights and solutions. We look for people who take pride in their work, execute on it, and deliver phenomenal results.What You Will Be Doing Lead and grow a team (2-4) of Data Scientists Develop and implement algorithms for cleaning, integrating, and evaluating large datasets from multiple disparate sources Learn and understand a broad range of our data resources and know when, how, and which to use and which not to use Collaborate with cross-functional teams from Data Engineering, Engineering, and Product to understand current processes and improve our data Wrangling and modeling data from multiple data sources including Snowflake, AWS, and SaaS tools Identifying and understanding source data systems and become an expert of data architecture, sources and flows Provide mentorship and technical guidance to the Data Science TeamWhat You Need for this PositionMust Have Skills Masters Degree with an emphasis in Statistics, Data Science, or a related field 2+ years of people management 3+ years experience using R and/or Python (R preferred) 3+ years experience with Postgres, MySQL, or T-SQL (Postgres preferred) At least 3-5 years of experience working in an Analytics / Data Science environment Experience working with databases and SQL in a business environment Strong experience working with large and complex datasets Team-oriented, self-motivated, success-driven, roll-up-your-sleeves attitude Strong intellectual curiosity and demonstrated ability to understand and question the data Deep analytical skills with a demonstrated ability to turn data into insights and solutions Strong ability to interact, communicate, present and influence within multiple levels of the organization Exceptional written and verbal communication skills Ability to be adaptable and flexible in responding to deadlines and workflow fluctuationsNice To Have Skills Prior SaaS business experience Experience with Domo, Tableau, or other relevant data visualization tool Demonstrated ability to deploy ML models that yield measurable results Experience with Cloud Storage and Compute: AWS (S3, EC2, and EMR) and Snowflake Experience with modeling and manipulating data using Apache SparkWhat's In It for You Competitive compensation and bonus structure Flexible time off 9 paid holidays Generous medical, dental, and vision coverage Flexible spending accounts (FSA) Short term disability insurance/AD&D/voluntary life Pre-tax commuter/parking benefit Wellness program Tuition reimbursement Vanguard 401k plan with the best fund options and the Roth/after-tax optionSo, if you are a Data Science Manager with 3+ years of R or Python experience, please apply today!Email Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Andrew.Kraig@CyberCoders.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : AK8-1563723 -- in the email subject line for your application to be considered.***Andrew Kraig - Recruiter - CyberCodersApplicants must be authorized to work in the U.S.CyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
2,Senior Data Scientist,Harnham,"Salt Lake City, Utah, United States",Be among the first 25 applicants,"SENIOR DATA SCIENTIST, PRODUCT PLACEMENT  $140K-160K + BENEFITS + BONUS WHEN APPLICABLE  SALT LAKE CITY, UTAH    Being able to predict best product placement to achieve higher ROIs than traditional advertising? If you're looking for data science work with media data, then we have the right opportunity for you.    THE COMPANY:  Harnham is working with a company who’s using AI to predict best product placement within entertainment (ie TV shows, movies, influencers). Within the past year, they have grown their reputation to being one of the strongest AI teams  around– revolutionizing media and AI.  THE ROLE:  You will be working end to end on developing deep learning models and working with both structured and unstructured data. This means – you should be able to own your data, clean your data, and write your own code in Python and SQL.  In specific, you can expect to be involved in the following:   Productionizing deep      learning models  LEADING projects       Being involved      with mentoring and progressing the team   YOUR SKILLS AND EXPERIENCE:  The ideal senior data scientist will have the following skills and experience:   BS, MS, or PhD      in Computer Science  Strong deep      learning experience in INDUSTRY setting  Has worked on entertainment      type data (video, audio, text)  Python, SQL,      full stack data science  Have a history      of owning projects, mentoring, and review code      THE BENEFITS:  The successful senior data scientist will receive a salary, dependent on experience up to $160K. On top of the salary add in some fantastic extra benefits the candidates can receive like equity, performance bonus, and unlimited vacation.     HOW TO APPLY:  Please register your interest by sending your CV to Hillary Tran via the Apply link on this page.         "
3,Research Scientist (WGU Labs),Western Governors University,"Salt Lake City, UT, US",Be among the first 25 applicants,"If you’re passionate about building a better future for individuals, communities, and our country—and you’re committed to working hard to play your part in building that future—consider WGU as the next step in your career.Driven by a mission to expand access to higher education through online, competency-based degree programs, WGU is also committed to being a great place to work for a diverse workforce of student-focused professionals. The university has pioneered a new way to learn in the 21st century, one that has received praise from academic, industry, government, and media leaders. Whatever your role, working for WGU gives you a part to play in helping students graduate, creating a better tomorrow for themselves and their families.About Labs WGU Labs (Labs) mission is to accelerate the pace of innovation in education to serve a changing global economy and population. Labs invents, builds, and enables innovative education products and offerings that multiply the effects of WGU’s mission to have a transformative impact on higher education: to expand access, improve quality, and optimize student outcomes. Leveraging advances in cognitive and behavioral sciences and emerging technology, Labs fosters innovation from idea through incubation, continuously improving student learning at WGU and beyond.WGU Labs contains two entities: The Center for Applied Learning Science (CALS) and Studios. CALS develops learning applications leading to educational attainment and life-long success. Studios helps innovative education companies, both external and internal (CALS products), grow their impact on education. The Studio is an accelerator that provides support services to its customers/companies, including research and product support as well as business development services. These services are provided by internal Studio staff, CALS staff, and external mentors/consultants.For more information about WGU LABS visit: https://wgulabs.org /Position SummaryThe Research Scientist plays a critical role in WGU Labs’ culture of data driven continuous improvement. The successful candidate is curious, skeptical, technical, and detail oriented. An ideal candidate is also a continuous learner, working to improve their scientific tool kit and increase productivity. This role is responsible for working with other team members and clients, and conducting studies to validate research questions. The Research Scientist is expected to execute the full life cycle of a study, including conceptualization of an idea, primary data collection, accessing our database to obtain the data, data wrangling , performing the most appropriate quantitative and qualitative analysis and reporting the resultsEssential Functions And ResponsibilitiesPlan and execute research projects through design, data collection, analysis, and dissemination.Determine appropriate research methods including: implementations studies, qualitative research, secondary data-analysis, quasi-experimental studies, and randomized controlled trials.Collect, combine and clean data from multiple sourcesAnalyze data, using statistical software and techniquesDesign and deploy surveys using software like Qualtrics or Survey Monkey.Produce high-quality, client facing reports and presentations.Represent WGU Labs by presenting at relevant conferences.Knowledge, Skill and Abilities  Expert ability to independently define and conduct original scientific research.  Data manipulation using programming languages like SQL and Python.  Data visualization skills using tools like Python and Tableau.  Deep experience with qualitative and quantitative primary research methods.  Proven ability to lead research projects, including cost, resource, and schedule management as well as compliance and reporting.  Excellent written, oral, presentation, and interpersonal skills.  Successful history communicating research results and key ideas to lay and scholarly audiences; performed thought leadership in the field.  Ability to work in a collaborative team and maintain effective relationships.  S trong attention to detail and a feeling of pride and ownership over the quality of work product  Working Conditions  This full-time position would work in-office at our Salt lake City (Utah) headquarters , with a traditional working schedule (Monday-Friday, 8am-5pm MDT) , and o ccasional tr ave l Qualifications Required: Master’s degree in Applied Math discipline (Computer Science, Data Science, Economics, etc.) or related field  Required: 3 years of professional/project experience in scientific research (qualitative and quantitative)  Required: Experience in data analytics, including using programming languages ( SQL,Python ), and data visualization tools (Python, Tableau)  Preferred: Doctorate degree in related field  Preferred: Experience in higher education, and/or educational technology research #D&IAs an equal opportunity employer, WGU recognizes that our strength lies in our people. We are committed to diversity."
4,Sales Operations Data Architect,Qualtrics,"Provo, UT, US",Be among the first 25 applicants,"Why Qualtrics?Qualtrics is the technology platform that organizations use to collect, manage, and act on experience data, also called X-data™. The Qualtrics XM Platform™ is a system of action, used by teams, departments, and entire organizations to manage the four core experiences of business—customer, product, employee and brand—on one platform. Over 10,000 enterprises worldwide, including more than 75 percent of the Fortune 100 and 99 of the top 100 U.S. business schools, rely on Qualtrics to consistently build products that people love, create more loyal customers, develop a phenomenal employee culture, and build iconic brands. Qualtrics was recently acquired by SAP, and together we will accelerate XM and power the experience economy. Join us on this adventure that can open many doors! Join a company that is dedicated to your ideas and growth, recognizes your unique contribution, fills you with purpose, and provides a fun, flexible and inclusive work environment.The ChallengeThe Sales Operations team is looking for someone to join Qualtrics and become an All-Star data master! You’ll oversee the sales data warehouse and maintain its health and efficiency, including the standardization of environments and research, and development of new applications.Responsibilities  Using your technical skills to build the data platform that connects our sales employees to the data they need   Building data models to aggregate and centralize the data that is critical to the understanding of our business   Architecting the solutions to warehouse our ever-growing data sets   Be responsible for troubleshooting and improving processes that enable data integrations between sales systems (CRM to CRM, CRM to reporting tools, etc)   Partner with sales leadership on structuring data for performance tracking   Bridge the relationship between CRM developers and BI analysts to improve the reliability of sales data   Ability to be flexible and adapt to changing work environments and prioritize high impact issues  Qualifications  Technical degree such as Information Systems, Math, Statistics, or Computer Science   3-5 years of experience   Strong algorithms, data structures, and coding background   Strong written and verbal interpersonal skills   High proficiency in MySQL   Experience with Tableau, SFDC, and/or SnapLogic (or other ETL tools) are preferred   Passion for data   What differentiates us from other companies:   Work life integration is deeply important to us - we have frequent office events, team outings, and happy hours    Qualtrics Experience Program - $1,500 for an experience of your choosing (eligible after a year)    We take pride in our offices design aiming at fostering creativity from our rooftop views to an open and collaborative work space.    30 paid days off - 15 PTO + 5 Personal Days + 10 Holiday Closures (additional after a year)    On top of standard benefits package (medical employees and their families, dental, vision, life insurance, etc) we provide snacks, drinks, and free lunches in our office    We believe in sharing Qualtrics success which is part of the compensation for all employees  To learn more about what we value read about it directly from our employees Qualtrics Life stories"
5,Analytic Consultant 4 - Compliance Independent Risk Management,Wells Fargo,"Salt Lake City, UT, US",Be among the first 25 applicants,"Job DescriptionImportant Note  During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume prior to submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as “Personal Cell” or “Cellular” in the contact information of your application.At Wells Fargo, we want to satisfy our customers’ financial needs and help them succeed financially. We’re looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you’ll feel valued and inspired to contribute your unique skills and experience.Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.Corporate Risk helps all Wells Fargo businesses identify and manage risk. The team focuses on several key risk types, including conduct, credit, financial crimes, information security, interest rate, liquidity, market, model, operational, regulatory compliance, reputation, strategic, and technology risk. The group provides leadership, enhances communications, assists with problem identification and solutions, and shares best practices. In addition, the group provides an enterprise-wide view of risk, assists management and our Board of Directors in identifying and monitoring risks that may affect multiple lines of business, and takes appropriate action when business activities exceed the risk tolerance of the company.This Analytic Consultant 4 is a key position within the Wells Fargo Compliance Independent Risk Management Home Lending analytics team. The Consultant will develop processes, analyses, and reporting to support compliance regulations implemented under the Dodd-Frank Act.Responsibilities Include Communicate project results and recommendations to senior leadership to support our strategic direction in the regulatory environment. Think outside the box to lead the development of new analytical techniques. Analyze transactional data, that is being captured in Regulatory Data Repository (RDR) compliance database, for project work Spearhead the development of analytical strategies for developing insights from time series data captured within this data repository. Utilize traditional statistical regression techniques.Project work may require the use of leading edge big data techniques for analyzing unstructured contextual data in Home Mortgage's loan application process.Please Note  Based on the volume of applications received, this job posting may be removed prior to the indicated close date. If you do not apply prior to the closing of this posting, we encourage you to apply for other opportunities with Wells Fargo.Required Qualifications6+ years of experience in one or a combination of the following reporting, analytics, or modeling; or a Masters degree or higher in a quantitative field such as applied math, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or business/social and behavioral sciences with a quantitative emphasis and 4+ years of experience in one or a combination of the following reporting, analytics, or modelingDesired QualificationsExtensive knowledge and understanding of research and analysisStrong analytical skills with high attention to detail and accuracyExcellent verbal, written, and interpersonal communication skills5+ years of SAS programming experienceKnowledge and understanding of databases and data mining techniquesOutstanding problem solving and analytical skills with ability to turn findings into strategic imperativesAbility to work effectively, as well as independently, in a team environmentKnowledge and understanding of analytical methods used in statistical analysis, modeling, and reportingTeradata experience5+ years of SQL experienceSolid critical thinking skillsAbility to positively influence, motivate, and direct diverse teamsDemonstration and presentation facilitation skillsMetadata management and data integrity skillsAbility to develop partnerships and collaborate with other business and functional areasOther Desired Qualifications Able to analyze complex situations, and create and implement solutions to best protect the company from Legal, Regulatory, and Compliance risk Strong organizational and time management skills with the ability to manage multiple responsibilities and tasks simultaneously Proven ability to collaborate with others, initiate action plans, manage change, make high impact decisions, and complete challenging assignments Demonstrated experience in data projects 3+ years of experience in an advanced analytics function such as statistical regressions, correlations, variance analysis, trending, anomalies, etc. 3+ years of knowledge of Real Estate Lending business processes and regulations like TRID, HMDA, QM-ATR, and Appraisal Delivery Knowledge in data warehouse and all aspects of project life cycleStreet AddressIA-West Des Moines 7001 Westown Pkwy - West Des Moines, IADisclaimerAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.Reference Number 5517952-15"
6,"Sr. Data Scientist - R/Python, Postgres",CyberCoders,"Lehi, UT, US",Be among the first 25 applicants,"If you are a Sr. Data Scientist with 3+ years of R or Python experience, please read on!As a member of the Data Science team, you will play a pivotal role in building out and supporting our new API division through the development of data matching, customer profiles and business profiles. Our team is comprised of Data Engineers, Data Scientists, and Business Intelligence Analysts that use our vast and growing data to support and enhance our data and ML models that power our products and decision making. You will use your understanding of data and modeling to make a difference.Our problems are open-ended and don't always have clear paths and solutions. We understand the workflow from a high level, and that context helps us build the right solutions. This is where your unique skills and interests come into play. We are looking for someone who is driven, with a strong intellectual curiosity of understanding challenges and problems, works well cross functionally, and can provide actionable insights and solutions. We look for people who take pride in their work, execute on it, and deliver phenomenal results.What's In It for You Competitive compensation and bonus structure Flexible time off 9 paid holidays Generous medical, dental, and vision coverage Flexible spending accounts (FSA) Short term disability insurance/AD&D/voluntary life Pre-tax commuter/parking benefit Wellness program Tuition reimbursement Vanguard 401k plan with the best fund options and the Roth/after-tax optionWhat You Will Be Doing Develop and implement algorithms for cleaning, integrating, and evaluating large datasets from multiple disparate sources Learn and understand a broad range of our data resources and know when, how, and which to use and which not to use Collaborate with cross-functional teams from Data Engineering, Engineering, and Product to understand current processes and improve our data Wrangling and modeling data from multiple data sources including Snowflake, AWS, and SaaS tools Identifying and understanding source data systems and become an expert of data architecture, sources and flows Provide mentorship and technical guidance to the Data Science TeamWhat You Need for this PositionMust Have Skills Masters Degree with an emphasis in Statistics, Data Science, or a related field 2+ years of people management 3+ years experience using R and/or Python (R preferred) 3+ years experience with Postgres, MySQL, or T-SQL (Postgres preferred) At least 3-5 years of experience working in an Analytics / Data Science environment Experience working with databases and SQL in a business environment Strong experience working with large and complex datasets Team-oriented, self-motivated, success-driven, roll-up-your-sleeves attitude Strong intellectual curiosity and demonstrated ability to understand and question the data Deep analytical skills with a demonstrated ability to turn data into insights and solutions Strong ability to interact, communicate, present and influence within multiple levels of the organization Exceptional written and verbal communication skills Ability to be adaptable and flexible in responding to deadlines and workflow fluctuationsNice To Have Skills Prior SaaS business experience Experience with Domo, Tableau, or other relevant data visualization tool Demonstrated ability to deploy ML models that yield measurable results Experience with Cloud Storage and Compute: AWS (S3, EC2, and EMR) and Snowflake Experience with modeling and manipulating data using Apache SparkSo, if you are a Sr. Data Scientist with 3+ years of R or Python experience, please apply today!Email Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Andrew.Kraig@CyberCoders.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : AK8-1562839 -- in the email subject line for your application to be considered.***Andrew Kraig - Recruiter - CyberCodersApplicants must be authorized to work in the U.S.CyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
7,Senior Product Manager (Data Platform),Western Governors University,"Salt Lake City, UT, US",Be among the first 25 applicants,"If you’re passionate about building a better future for individuals, communities, and our country—and you’re committed to working hard to play your part in building that future—consider WGU as the next step in your career.Driven by a mission to expand access to higher education through online, competency-based degree programs, WGU is also committed to being a great place to work for a diverse workforce of student-focused professionals. The university has pioneered a new way to learn in the 21st century, one that has received praise from academic, industry, government, and media leaders. Whatever your role, working for WGU gives you a part to play in helping students graduate, creating a better tomorrow for themselves and their families.Senior Product ManagerIf you are passionate about making a positive impact on the world and want to be part of a growing high-tech company, this job is for you! At Western Governors University (WGU) we are building the technology to redefine how individuals gain the knowledge and skills required to achieve their goals and dreams. We leverage technology to create an exemplary student experience for online, competency-based education that is independent of time and place. We make a difference in the lives of our students! We’d like to consider you to join our team!Why You’re Excited About UsYou’ve read our mission and are eager to work with us to change our students’ lives . You want to be part of a diverse team and culture in a fast growing, industry-changing technology company. We offer a competitive salary and benefits package, including healthcare, HSA/FSA, employee and family tuition discounts, and 403B with company matching options. Plus, we provide an employee development budget for relevant trainings, certifications and conferences, along with perks like monthly massages, game days and more. You’ll have access to several training and continuing education platforms, such as Lynda.com and Pluralsight. We believe in our people and work tirelessly to support them and ensure their success both within their product roles and through career development. Our product team is based in our Salt Lake City headquarters; however, we’ll consider highly qualified out-of-state candidates with a proven record of delivering results remotely – but you’ll miss out on the amazing culture, majestic mountains and year-round recreational opportunities across the Silicon Slopes!Things you’ll be doingInteracting with Stakeholders: Using our student-obsessed product approach, you will take ownership of ensuring we are delivering successful products that align with our future-state student experience. This is done in close collaboration with our stakeholders when building your product roadmap, defining business requirements, and developing a product strategy.Student Obsessed Product Approach: Our students are at the core of everything we do. As a product manager, you will be the voice of the customer. It is important to gather student/staff feedback about their expectations and experiences with our products. This may come in the form of conducting user groups, performing surveys, partnering with our UX research team, reviewing online communities, etc. You will focus on the needs, expectations, understandings and desires of the students to increase satisfaction and create products students rave about and our staff can’t live without.Executing Product Strategy: As the owner of your Product, you will work closely with the development team to execute product strategy. You will attend scrum ceremonies and fulfill the role of a product owner including writing epics, stories, and managing backlog refinement. You will represent the voice of the students to help engineers fall in love with the problem and envision the future outcome we will deliver. In our data-driven culture, as the Product Manager you will use data to make/defend prioritization decisions and measure the success of our outcome. You will be a domain expert on your products and work closely with other product managers to deliver cross-team dependencies.Evangelizing Products: You are the owner of your product! You will manage the metrics and ensure your product is getting the support it needs. From resolving technical debt, to asking for resources for innovation, you represent the best interest of your product. You will perform demos, help prepare training materials, make product announcements in conjunction with stakeholders, and represent yourself as a product expert. When you see how your products make a real difference in the lives of our students and staff, you will be able to passionately evangelize the benefits and value your products provide.Required QualificationsWhile we have high expectations for job candidates, we’ve intentionally kept our qualifications list short. A few preferences and must-haves merit specific callouts:Minimum 5 to 7 years of Software Product Management experiencePreferred QualificationsBachelor’s degree, Master’s preferred. Degree(s) in Computer Science, Data Science, Analytics, Business all a plus. Data Platform experienceWGU values and promotes diversity and inclusion and is proud to be an equal opportunity employer. WGU recruits, hires, and promotes regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.# LI-JC1As an equal opportunity employer, WGU recognizes that our strength lies in our people. We are committed to diversity."
8,Systems Analyst-Programmer,Merrick Bank,"South Jordan, UT, US",Be among the first 25 applicants,"At Merrick Bank, we specialize in credit programs that assist people looking to build or rebuild their credit. We are FDIC insured and recognized as a top-20 issuer of Visa® cards. In total, we proudly serve over 2.4 million cardholders and have extended over $5.3 billion in credit.Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential.As a member of the Merrick Bank Software Development Team, you will directly support our business-critical Risk & Credit Decision Platform used by Credit, Risk, and Lending teams. Work with end-users and stakeholders to understand & analyze problems, document requirements, and deliver technology solutions. You will be engaged in all aspects of Business Analysis and Software Development Lifecycle (SDLC).Configure, support, and develop credit request application strategies by utilizing the credit decision engine and low-code platform. Create and maintain user-friendly business software interfaces for the decisioning processes and reports. Create and maintain business process workflows and business rules. Provide data and integration to third-party financial services.Required Skills, Abilities, Knowledge, And ExperienceBroad technical exposure with the ability to learn new technology tools and concepts quickly, with experience working on complex user applications2 years of experience using JavaScript, HTML/CSS, XML, JSON/REST, and web technologiesFundamental understanding Computer Programming concepts. Preference towards a formal understanding of Computer Science fields & disciplines (college degree, technical certifications, or demonstrable understanding)Experience with data manipulation, query language, and relational databasesAbility to understand and analyze complex problems and offer different solution approachesStrong verbal and written communication skills to present technical and non-technical information clearly and conciselyExperience with Business Process Modeling and Decision TreesUnderstanding of financial industry services such as bank cards, loans, and retail bankingAbility to work independently and in a collaborative team environmentAbility to meet and set appropriate deadlines set by manager and selfPrimary DutiesMAC (Merrick Application Control) is business-critical Risk & Financial Decisioning System built and serviced internally. This person must be qualified and competent to act as first contact and incident-responder for all user-related issues with Production MAC System and Third Party Data providersPerform initial programming and validation of rules, rule sets & process flowsAssist in the development and servicing for enterprise & application reportingWork with department stakeholders, end-users, QA, and engineering to understand opportunities and document requirements and specificationsPartner with the software engineering team to define, prioritize, track, and test user stories - preferably in an Agile software development life cycleCreate reports and deliver daily file output and data loads. Ensure data is generated, sent, and confirmed to respective clients and data providers/servicesProvide technical assistance and consulting in conjunction with others in Department for third party interactions with MACCoordinate internal/external ad-hoc data requests with planned workloadWhat’s In It For YouCompetitive salary (DOE)Benefits package -Medical, Dental and Vision (plus much more)401(k) Plan with Company MatchShort & Long Term DisabilityGroup Life and AD&D InsurancePaid Vacation, Holidays, and Personal DaysEmployee Events, including Employee Appreciation Day, Holiday Party, etc.Tuition Reimbursement ProgramRelocation expenses will not be sponsored for this position.Candidates must have unrestricted authority to work in theUnited States without sponsorship.Merrick Bank is an equal opportunity employer. We evaluate qualified applicantswithout regard to race, color, religion, sex, national origin, disability,veteran status, and other legally protected characteristic. The EEO is theLaw poster is available here: http://www1.eeoc.gov/employers/poster.cfmPlease go to our website www.merrickbank.com to apply and learn more about our companyMerrick Bank was founded in 1997 and is a top-20 issuer of Visa® cards. In addition, Merrick Bank is an authorized issuer of MasterCard® cards. Merrick Bank also provides finance options to Marine and RV Dealers throughout the country, helping to facilitate Boat and RV purchases for consumers. Merrick Bank proudly serves over 2.4 million cardholders and $5.3 billion in assets. Merrick Bank specializes in credit programs that assist consumers looking to establish or rebuild their credit rating. Merrick Bank is FDIC insured and offers Certificates of Deposit with a variety of rates and terms to fit your needs.Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential."
9,Senior Data Scientist,The Job Network,"Salt Lake City, UT, US",Be among the first 25 applicants,"SENIOR DATA SCIENTIST, PRODUCT PLACEMENT$140K-160K + BENEFITS + BONUS WHEN APPLICABLESALT LAKE CITY, UTAHBeing able to predict best product placement to achieve higher ROIs than traditional advertising? If you're looking for data science work with media data, then we have the right opportunity for you.The CompanyHarnham is working with a company who’s using AI to predict best product placement within entertainment (ie TV shows, movies, influencers). Within the past year, they have grown their reputation to being one of the strongest AI teams around– revolutionizing media and AI.The RoleYou will be working end to end on developing deep learning models and working with both structured and unstructured data. This means – you should be able to own your data, clean your data, and write your own code in Python and SQL.In specific, you can expect to be involved in the following: Productionizing deep learning models  LEADING projects  Being involved with mentoring and progressing the team  Your Skills And ExperienceThe ideal senior data scientist will have the following skills and experience: BS, MS, or PhD in Computer Science  Strong deep learning experience in INDUSTRY setting  Has worked on entertainment type data (video, audio, text)  Python, SQL, full stack data science  Have a history of owning projects, mentoring, and review code  The BenefitsThe successful senior data scientist will receive a salary, dependent on experience up to $160K. On top of the salary add in some fantastic extra benefits the candidates can receive like equity, performance bonus, and unlimited vacation.How To ApplyPlease register your interest by sending your CV to Hillary Tran via the Apply link on this page.Pandologic. Keywords: Data Scientist, Location: Salt Lake City, UT - 84105"
