,Job_Title,Company,Location,Number_of_Applicants,Description
0,Data Scientist -Seattle,Technitia Inc,"Seattle, WA, US",29 applicants,"Title: Data Analyst/Scientist Location: Seattle, WA Duration : Long Term Job Brief We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis, novel models and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Develop machine learning models for predictions using past data Filter and clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities Requirements Proven working experience as a data analyst or business data analyst. Strong interest in Data Science Technical expertise regarding data models, database design development, data mining and segmentation techniques Strong knowledge of and experience with database querying (SQL etc), programming (Python and/or R) Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings BS in Engineering, Mathematics, Economics, Computer Science, Information Management or Statistics Please share your resume to pavani at technitia dot org - provided by Dice Data Analyst, Data Scientist"
1,Engineer 2 - Machine Learning Platform,Nordstrom,"Seattle, WA, US",28 applicants,"Job DescriptionAn Engineer 2 is part of a key team of Nordstrom Technology professionals that applies scientific, mathematical and social principles to design, build, and maintain technology products, devices, systems and solutions. These technology products and solutions provide amazing customer experiences while meeting the needs of the business. The scope, responsibility and accountability is at the function level. A day in the life…  Design and collaborate with local and partner teams  Test all scenarios and conform to quality standards  Identify performance issues; apply knowledge of security coding practices and secure system fundamentals (e.g., cross-site scrip ting, security certificates)  Demonstr ate thorough knowledge of information technology concepts issues, trends and best practices as they relate to the discipline/practice  Demonstrate advanced knowledge of specific needs of a major line of business and the related set of applications, systems or functions  You own this if you have…  2+ years of professional experience in practice area  Bachelor’s or Master’s degree in CS, Engineering or equivalent practical experience We’ve got you covered…BenefitsNordstrom is proud to offer a variety of benefits to support employees and their families, includingOur employees are our most important asset and that’s reflected in our benefits.HealthRetirementTime OffMerchandise DiscountLifework / EAP resourcesA few more important points...The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com .By applying, you agree to our Nordstrom Careers Privacy Policy© 2019 Nordstrom, Inc.Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs."
2,Research Intern - NeXT Microsoft Healthcare,Microsoft,"Redmond, WA, US",30 applicants,"Microsoft Research provides a dynamic environment for research careers with a network of world-class research labs led by globally recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.The Microsoft Healthcare team is working at the intersection of computing and healthcare to invent and re-invent how technology could have a profound impact on healthcare and care delivery across the world. We are an interdisciplinary team of scientists, engineers, and medical doctors who endeavor to develop next-generation technologies for healthcare. We offer a unique vibrant environment that features cutting-edge academic research, enterprise software development, and real-world delivery, with close feedback loops and rapid iterations among all three, much like a lean startup.Tasked with keeping Microsoft at the forefront of healthcare innovation, rock-turning and discovery is a key process for our team. We look for trends where a traditional problem can be turned into a computational problem. Computational microscopy and digital pathology are rapidly following this trend. We are looking for an innovative, collaborative, and highly motivated research intern to join our efforts in exploring computational microscopy or digital pathology fields to formulate problem statement, design, develop and implement proof of concepts that helps inform our innovation strategy and investment direction for these said fields.ResponsibilitiesInterns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.We are looking for a research intern in EECS or biomedical engineering or a related field. This individual must have experience with computational microscopy research and/or digital pathology research including building hardware-software systems. The ideal candidate would be a senior Ph.D. student in EECS with experience in building novel computational microscopy systems and techniques. Candidates may also be pursuing a Ph.D. in a related field such as mechanical engineering, electrical engineering, computer science, etc.#msfthealthcare #healthfutures #computationalMicroscopy #digitalPathologyQualificationsIn addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.Required QualificationsMust be currently enrolled in a PhD program in EECS, Bio Engineering, Electrical Engineering, Mechanical Engineering, Computer Science or a related STEM fieldPreferred QualificationsPublication record or product implementation record in the field of computational microscopy or digital pathologyExperienced rapid prototyperExperience with experimental designExperience working with hardware-software integrated systemsExperience working with optical physicsExperience with signal processing and data science in Matlab or PythonExperience implementing hardware to try novel computational imaging techniquesExperience with optics and building optical stacksExperience collaborating with interdisciplinary teamsDrive to be a ""learn-it-all""Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
3,Data Management Specialist - Economics and Social Science Research (FishSET) (19-1189) - WA212735599,820,"Seattle, WA, US",Be among the first 25 applicants,"Title: .and. Data Management Specialist - Economics and Social Science Research (FishSET) (19-1189)Location: Seattle, WA (98115)Anticipated Start Date: November 5, 2019Position Type: Full Year, Full Time, Hourly/Non-ExemptBenefits Eligible: Yes | www.psmfc.org/benefitsSalary Target: $27.50/hour.and. Job Number: 19-1189How to Apply: Online at www.psmfc.org/careersClosing Date: October 25, 2019 at midnight.and. Group Definition:.and.Data Management Specialists (Social Sciences) use a background in the social sciences as they assist in the population, maintenance, enhancement and distribution of databases..and.They locate, obtain, standardize, enter, verify, and correct various data sets related to project goals and work plans.Position/Project Specifics: Pacific States Marine Fisheries Commission, working with NOAA's National Marine Fisheries Service's Alaska Fishery Science Center, has developed a set of tools, the Spatial Economic Toolbox for Fisheries (FishSET). The primary purpose of FishSET is to improve economic modeling of spatial management problem in fisheries management. FishSET will package models of fisher behavior together so that they can be run comparatively easily on any dataset. Additional tools to spatially summarize the data and to compare models results are also being developed. The Data Management Specialist will work with Economics and Social Science Research (ESSR) program scientists and other staff at the Alaska Fisheries Science Center (Seattle, WA) on data-driven projects intended to inform fishery managers and the public. The position involves working with confidential fisheries data in the Alaska Fisheries Information Network data warehouse using Oracle/SQL and other scripting languages to query, wrangle, and summarize data; and assisting in data analysis using general statistical methods and data visualization developed using the R programming language and related applications.. This position is aimed towards recent graduates, current graduate students, or career analysts with 4 years of experience.Essential Functions:.and.(The functions listed below are characteristic of the type and level of work associated with this group and pay band..and.They are not all-inclusive. Individual positions may perform some or all, as well as other similar work.)At the lower end of the range, employees:Compile project data into standardized electronic data formats. This includes accessing filed information and verifying its accuracy and completeness, performing data entry, electronic data transfer, editing, and error checking.Extract relevant data which may be presented in many different text and numeric formats, reports, tables, graphics, or figures.Maintain local versions of datasets in accordance with established regional database exchange formats and standards.Maintain a local archive of current and historical reports and documents. Coordinate the regular transfer of reference materials to archives and libraries.Train technical and general users in the use of database applications through individual instruction and/or group presentations.Create queries, summaries, and/or maps in response to requests for customized data.Prepare and manipulate various data, performance and summary metrics, and graphic outputs for use in reports, presentations and internet applications, using standardized retrieval and processing scripts.At the upper end"
4,"Senior Software Engineer, Data Science Infrastructure",Sift,"Seattle, WA, US",Be among the first 25 applicants,"About The TeamEvery day, thousands of websites and apps rely on Sift's cloud-based machine learning to understand which users and actions they can trust. With this knowledge companies can prevent fraud, grow revenue, and build better user experiences based on trust.The Data Science Infrastructure team owns the tools that empower the development of new machine learning models and data intelligence at Sift. Experimentation is the lifeblood of machine learning. Our tools simplify the processes for experimentation in the face of greater complexity and scale. They also make it easier to find and analyze the data needed to make decisions.What We're Looking ForAs an engineer on the Data Science Infrastructure team, you will design and build infrastructure and tooling to make it fast, easy, and cost effective to perform machine learning experimentation and data analysis. Ensuring data and batch processing pipeline availability, stability, and access at production scale is critical to our mission.What You'll Do Design and build tooling to enable data scientists and ML engineers to quickly iterate on experiments Motivate, teach, listen and empathize with a variety of engineering and analytical roles Lead architecture discussions to meet the requirements of machine learning teams at the scale of thousands of models and hundreds of terabytes of data Implement scalable, high-throughput, fault-tolerant, extensible, and easily maintainable batch processing workflows Champion and deliver cross-company data engineering initiatives What Would Make You a Strong Fit Designed and built scalable, fault-tolerant batch services for production data Experience iterating on large, complex ETL data pipelines that stretch the limits of available tools and services Strong software engineering fundamentals Strong communication & collaboration skills, and a belief that team output is more important than individual output Experience with big data and related systems Bonus Points Experience building backend systems using Java / Python Familiar with distributed backend data stores (Bigtable) and CAP theorem Knowledge of cloud computing services Experience working with large datasets using Spark / MapReduce A Little About UsSift is the leading innovator in Digital Trust & Safety. Hundreds of disruptive, forward-thinking companies like Airbnb, Zillow, and Twitter trust Sift to deliver outstanding customer experience while preventing fraud and abuse.The Sift engine powers Digital Trust & Safety by helping companies stop fraud before it happens. But it's not just another anti-fraud platform: Sift enables businesses to tailor experiences to each customer according to the risk they pose. That means fraudsters experience friction, but honest users do not. By drawing on insights from our global network of customers, Sift allows businesses to scale, win, and thrive in the digital era.Benefits And Perks Competitive total compensation package 401k plan Medical, dental and vision coverage Wellness reimbursement Education reimbursement Flexible time off Catered meals Sift is an equal opportunity employer. We make better decisions as a business when we can harness diversity in thought, experience, data, and background. Sift is working toward building a team that represents the worldwide customers that we serve, inclusive of people from all walks of life who can bring their full selves to work every day, so we can Win as One Team."
5,Program Manager - Data Science and Design,Convoy Inc,"Seattle, WA, US",25 applicants,"Convoy, one of the fastest growing startups in the U.S., is transforming the $800 billion trucking industry. We offer the world's largest companies the best option for moving their freight through our network of thousands of technology-connected trucking companies.The Data Science team is at the core of Convoy’s platform. We build the models that power freight pricing, shipment offer relevance, auction bidding strategy, and other core services. The breadth of the problems space is huge, spanning machine learning, optimization, metric definition, econometrics, and analytics domains. And we have only begun to dig into the difficult and diverse problems in our two-sided marketplace.As Program Manager for Convoy's Data Science and Design teams, you will develop and manage programs that support the growth of the teams and our team members. This will include partnering with stakeholders to roll-out best-in-class programs for the career evolution of the team members, such as recruitment and career development process optimization, and programming our events schedule from lunch & learns and knowledge shares to internal and external data science conferences. You will also work with the team's leadership to set and track goals and pursue projects that benefit the entire Data Science and Design teams.Who You AreYou are an expert program manager able to influence stakeholders and drive programs quickly and efficiently to completionYou are open-minded, thoughtful and curiousYou are an excellent communicator, able to utilize and identify the most appropriate communication channels and to adjust your style based on your audienceYou are outgoing and communicate effectively in front of small and large groupsYou believe in the power of a diverse team and you love to make others feel welcomeYou are comfortable with working some evenings for events e.g. one evening each monthYou have extensive experience building and running successful community outreach and professional development programs for data scientists and/or designersYou have built strong, impactful internal and external people networksYou have 3+ years experience in project and program management rolesWhat You Will DoEnhance the external visibility of Convoy's Data Science and Design teams as exciting and supportiveDesign and manage programs for Convoy's Data Science and Design teams that foster collaboration, efficiency, and innovationPartner with business stakeholders to develop, optimize, and maintain career-lifecycle frameworks and processes such as on-boarding new-hires, developing training programs/materials, and managing the career development processManage communications and media programs for Convoy's Data Science and Design teams, such as websites, apps, videos, and blogsBenefits Of Working At ConvoyHealth & Wellness: Taking care of your health comes first. Convoy covers 100% of your medical, dental, and vision premiums, and 85% for your family. We also provide access to the gym and showers in our building.In-Office Happiness: Enjoy catered meals multiple times through the week, and fully stocked fridges and pantries to keep you running full.Commuter Benefits: We transport the world; the least we can do is help get you to work. Every employee receives a fully paid Orca Card to get you around on the bus, light rail, or water taxi. We also provide locked bike storage if you prefer to pedal in.Time Off: Life outside of work matters! Convoy has a flexible vacation policy, so take the time off you need- we don’t track vacation or sick time. We also offer generous parental leave for those expecting new additions to their family.Compensation: We offer market competitive compensation, including stock options and a 401k plan to help save for retirement.Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!"
6,Data & Applied Scientist,Microsoft,"Redmond, WA, US",Over 200 applicants,"AI for Humanitarian Action, AI for Earth, AI for Accessibility, and Digital Crimes. These are some of the programs at Microsoft where you can apply your world-class expertise to have a huge impact on global and local challenges. Come to work every day and contribute to projects that help save lives, alleviate suffering, and restore human dignity. Use the power of technology and AI to promote human rights, increase accessibility for those with disabilities, and seek solutions to climate change.These are ambitious aims but with access to our technology, resources, global scale, and genuine commitment to using the power of AI and technology for good, they are achievable. We call this AI for Good and we empower our partners across the globe with our research, platforms, and technology.Researchers and Data Scientists have a fantastic opportunity to join a newly created AI for Good Research Lab that is led by Microsoft’s Chief Data and Analytics Officer. As a part of this team, you will get an opportunity to work at the cutting edge of data science with some of the brightest minds in the field, whilst knowing that you are generating solutions to some of the most demanding and defining challenges of our time.These newly created roles will report to the Senior Director of Data Science and work closely with teams across Microsoft to deliver world class solutions to some of the world’s most pressing problems.ResponsibilitiesRequired Skills/Experience:Completed Master’s Degree in a quantitative field. Ph.D. is strongly preferred.Practical experience delivering insights and capabilities through data science using AI or machine learning techniques (neural networks for NLP, computer vision, etc.), supervised learning algorithms, such as Random Forest, and unsupervised learning algorithms such as clustering and PCA.Working experience with a numerical programming language such as Python/NumPy/SciPy, R, MATLAB, or similarFamiliarity with SQL or similar.Strong experience or research using computational aspects of one or more of the following, or highly related, areas: Bayesian modeling, causal inference methods, finite mixture models, generalized linear models, joint modeling, and/or nonlinear mixed models.Comfort manipulating and analyzing complex, high-dimensionality from varying sources to solve difficult problems.Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner.Experience framing and participating in data-driven business decisions, including measuring and evaluating outcomes.Excellent oral and written communication skills.The ability to translate data science to non-technical people at all levels.Team player mindset with proven ability to build trusted relationships.Demonstrated ability to work efficiently, prioritize workflow, and meet demanding deadlines.Nice To Have Skills/ExperienceExperience with CNTK, Tensorflow, KerasExperience with cloud based architectures such as Azure or AWSQualificationsMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
7,Software Engineer - Real-Time Data Specialist,Facebook,"Seattle, WA, US",Be among the first 25 applicants,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.We are seeking an experienced Software Engineer to join our Data Infrastructure team. Our mission is to enable Facebook teams and engineers to move fast. We empower them to use data to learn, experiment and iterate on customer value, generate insights and make high quality data-driven decisions.Our team builds the platform, frameworks and tools that power large-scale data processing and analytics at Facebook. As an infrastructure team, we provide thousands of software engineers, data engineers, data scientists and analysts the tools to manage the full lifecycle of their data pipelines. These tools cover everything from programming languages for data processing, data modeling, authoring in a rich IDE environment, debugging, testing, deployment, scheduling, monitoring and troubleshooting those pipelines. We are focused on all data workloads across streaming, batch, ML and ad hoc. Our platform is what enables all of our products to make critical decisions and monitor outcomes. It is a key part of how we “get things done” at Facebook and is used by most of our employees. We have a huge impact and responsibility on the rest of the company.We are looking for candidates who share a passion for building tools and services that enable others to move fast and be more productive. These building blocks must enable fast and high quality analytics, at Facebook scale.This position is full-time and is based in our main office in Seattle, WA.ResponsibilitiesDesign large-scale distributed systems, with backend services, APIs, SDKs and tools.Code using primarily Python and Java.Design, architect and implement a platform for efficient data processing and machine learning.Analyze and improve efficiency, scalability, and stability of various system resources.Conduct design and code reviews.Interface with other teams to collaborate in transforming the landscape.Minimum Qualification4+ years of coding experience in Java, C++ or C# or other modern programming languages.2+ years of experience building on or managing data platforms, big data infrastructure, metrics or pipeline management.Preferred QualificationB.S in Computer Science or related technical field.Experience working directly with data engineering or data science teams.Experience implementing data models, tools or languages.Experience implementing data definition and manipulation languages and libraries.Experience contributing to or building platforms on top of batch/streaming/ML systems (e.g. Spark, Flink, Beam, Airflow, Hive, Presto, Kafka, Storm, Hadoop MapReduce, Google DataFlow, Azure Data Factory, AWS Glue and many others).Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
8,Data Scientist,Pacific Northwest National Laboratory - PNNL,"Richland, WA, US",Be among the first 25 applicants,"Organization and Job IDJob ID: 310150Directorate: National Security DirectorateDivision: Computing and AnalyticsGroup:Applied Statistics and Computational ModelingJob DescriptionThis position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will define and carry out the application of existing methodologies and original research in data science and mathematical statistics, including statistical methods in experimental design, machine learning, and data modeling to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.Operating on the data-information-knowledge continuum, staff at PNNL emply diverse methods to confront significant problems of national interest – from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio – spanning from basic to applied – includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.EducationThe hiring level will be determined based on the education, experience and skill set of the successful candidate based on the followingLevel II : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.Level III : Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities.Minimum Qualifications BS/BA with 2 years of experience, MS/MA, or PhD Preferred Qualifications BS/BA with 5 years of experience, MS/MA with 3 years of experience or a PhD in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility Position requires ability to apply theories and develop technical approaches with minimal oversight Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems Equal Employment OpportunityBattelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov. Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment. Other InformationThis position requires the ability to obtain and maintain a federal security clearance.Requirements U.S. Citizenship Background Investigation: Applicants selected will be subject to a Federal background investigation and must meet eligibility requirements for access to classified matter in accordance 10 CFR 710, Appendix B. Drug Testing: All Security Clearance (L or Q) positions will be considered by the Department of Energy to be Testing Designated Positions which means that they are subject to applicant, random, and for cause drug testing. In addition, applicants must be able to demonstrate non-use of illegal drugs, including marijuana, for the 12 consecutive months preceding completion of the requisite Questionnaire for National Security Positions (QNSP). Note: Applicants will be considered ineligible for security clearance processing by the U.S. Department of Energy until non-use of illegal drugs, including marijuana, for 12 consecutive months can be demonstrated.Directorate: National Security DirJob Category: Computation and Information SciencesGroup: Appld Stats & Computa ModelingOpening Date: 2019-11-19Closing Date: 2020-02-17"
9,Data Scientist,pozent.com,"Seattle, WA, US",Be among the first 25 applicants,"Title: Data ScientistLocation: Seattle,WAPosition: ContractJob DescriptionWork Experience of 5-10 years (wide range, will be based on the caliber of the candidate) Demonstrated/proven track record as an excellent learner and take up NEW areas quickly Engineering background / automotive domain project experience preferred 3-4 years of solid ML Projects + POC experience Coordinate with different functional teams to implement models and monitor outcomes Draft business cases and project charters based on discussion with client staff R and Python + Pandas, Numpy, sklearn, mlr, caret etc. Must have experience with model deployment and models running in production Statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, etc. Experience with platforms such as Amazon AWS Experience with serving Machine Learning as an API(microservice layer) Some experience with BI and visualization tools like Tableau, PowerBI - to explain the findings in the data SQL would also help in order to perform data acquisition from SQL DBs, Snowflake and other Data Related tools Preferred but not mandatory: Computer Vision and NLP experience and pre-trained models in these areas provided by Dice"
